               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0069431,           0.0026208,                   0,             0.95081,                   1,             0.98227,             0.86038,           0.0057528,           0.0021684,                   0,            0.070217,           0.0033092,           0.0033092
                   1,           0.0071604,           0.0026355,                   0,             0.95119,                   1,             0.98227,             0.86136,           0.0063967,           0.0022075,                   0,            0.040086,            0.006511,            0.006511
                   2,            0.010604,           0.0025212,                   0,             0.74859,                   1,             0.94663,             0.58459,            0.015975,           0.0028159,                   0,           0.0098223,           0.0095808,           0.0095808
                   3,              0.0163,           0.0032233,                   0,             0.93526,                   1,             0.95409,             0.75605,           0.0095572,           0.0023815,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.01216,           0.0028663,                   0,             0.95077,                   1,             0.95182,             0.76167,           0.0077308,           0.0024374,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.01157,           0.0031771,                   0,             0.95074,                   1,             0.95182,             0.76246,           0.0089928,           0.0024467,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.012284,           0.0030592,                   0,             0.95034,                   1,             0.95182,             0.65977,           0.0091437,           0.0024417,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.014464,           0.0033319,                   0,             0.90828,                   1,             0.95057,             0.77521,           0.0086053,            0.002339,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.01039,            0.002954,                   0,             0.94976,                   1,             0.95864,             0.74199,           0.0096813,            0.002374,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.012641,           0.0029395,                   0,             0.95036,                   1,             0.95409,             0.64699,            0.013046,           0.0024372,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.014027,           0.0028347,                   0,             0.95075,                   1,             0.95182,             0.70982,           0.0090317,           0.0023833,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.010331,           0.0026443,                   0,             0.95072,                   1,             0.95182,             0.75703,           0.0093206,           0.0024037,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.010233,           0.0028597,                   0,             0.95091,                   1,             0.95182,              0.7616,           0.0090079,           0.0024377,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.014776,           0.0030829,                   0,             0.95091,                   1,             0.95182,             0.72124,            0.010892,           0.0024511,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.014783,           0.0028754,                   0,             0.95062,                   1,             0.95182,             0.78035,           0.0090903,             0.00251,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.011681,           0.0029019,                   0,             0.95101,                   1,             0.95864,             0.76649,            0.010733,           0.0025137,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.011074,           0.0027939,                   0,             0.95085,                   1,             0.96727,             0.79014,           0.0083282,           0.0023632,                   0,             0.00703,             0.00703,             0.00703
                  17,           0.0094041,            0.002875,                   0,             0.95076,                   1,                0.98,             0.79557,           0.0097251,           0.0023833,                   0,            0.006832,            0.006832,            0.006832
                  18,           0.0091466,           0.0024904,                   0,             0.95144,                   1,             0.98455,             0.82464,           0.0093823,           0.0022768,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.011398,           0.0026326,                   0,             0.95169,                   1,             0.98227,             0.77294,           0.0090149,           0.0022866,                   0,            0.006436,            0.006436,            0.006436
                  20,              0.0105,           0.0025827,                   0,             0.95149,                   1,             0.95636,              0.7896,           0.0087547,           0.0022917,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.010058,             0.00285,                   0,             0.95129,                   1,             0.95864,             0.79652,           0.0088196,           0.0022653,                   0,             0.00604,             0.00604,             0.00604
                  22,           0.0092557,           0.0027358,                   0,             0.95134,                   1,             0.95636,             0.79406,           0.0075122,           0.0022252,                   0,            0.005842,            0.005842,            0.005842
                  23,           0.0089276,           0.0023825,                   0,             0.95139,                   1,               0.965,             0.83948,           0.0075646,           0.0022054,                   0,            0.005644,            0.005644,            0.005644
                  24,           0.0093001,           0.0027321,                   0,             0.95149,                   1,             0.96909,             0.81382,            0.007146,           0.0022485,                   0,            0.005446,            0.005446,            0.005446
                  25,           0.0094487,           0.0026164,                   0,             0.95154,                   1,             0.97591,             0.83562,           0.0071733,           0.0022708,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.010707,           0.0025223,                   0,              0.9513,                   1,             0.97773,             0.81696,           0.0082618,           0.0022533,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.010912,           0.0025344,                   0,             0.95158,                   1,             0.97136,              0.8297,            0.006502,           0.0021901,                   0,            0.004852,            0.004852,            0.004852
                  28,           0.0071196,           0.0023942,                   0,             0.95133,                   1,               0.965,             0.84305,           0.0061474,           0.0021621,                   0,            0.004654,            0.004654,            0.004654
                  29,           0.0072106,           0.0024418,                   0,             0.95141,                   1,               0.965,             0.82814,           0.0061405,           0.0021821,                   0,            0.004456,            0.004456,            0.004456
                  30,           0.0077515,           0.0026882,                   0,             0.95137,                   1,             0.96727,             0.83477,           0.0062682,           0.0021577,                   0,            0.004258,            0.004258,            0.004258
                  31,           0.0079219,           0.0026028,                   0,             0.95105,                   1,             0.97591,             0.84064,           0.0060236,           0.0021906,                   0,             0.00406,             0.00406,             0.00406
                  32,           0.0082502,           0.0026212,                   0,             0.95104,                   1,             0.96909,             0.83148,           0.0063185,           0.0022001,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.010194,            0.002674,                   0,             0.95074,                   1,             0.95409,             0.81923,           0.0065084,           0.0021439,                   0,            0.003664,            0.003664,            0.003664
                  34,           0.0074195,           0.0023146,                   0,             0.95032,                   1,             0.95409,             0.81258,            0.006036,           0.0021297,                   0,            0.003466,            0.003466,            0.003466
                  35,           0.0062168,           0.0021982,                   0,              0.9504,                   1,             0.95409,             0.83969,           0.0059623,           0.0021135,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.005925,           0.0020192,                   0,             0.95077,                   1,             0.95409,              0.8418,           0.0056651,           0.0020989,                   0,             0.00307,             0.00307,             0.00307
                  37,           0.0067223,           0.0021829,                   0,             0.95079,                   1,               0.965,             0.84623,           0.0059589,           0.0021279,                   0,            0.002872,            0.002872,            0.002872
