               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1287,            0.035909,            0.034497,                   0,                   0,                   0,                   0,             0.11851,            0.031071,            0.037421,                 0.1,                   0,                   0
                   1,             0.13063,            0.035893,             0.03437,            0.001032,             0.33333,          0.00091587,          0.00012739,             0.11893,            0.029942,            0.040338,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.12905,            0.036419,            0.033475,          0.00052356,             0.16667,          0.00077185,          7.7185e-05,             0.11822,            0.029007,            0.039612,            0.098196,          0.00019604,          0.00019604
                   3,             0.13067,            0.035171,             0.03363,           0.0010571,             0.33333,           0.0011666,          0.00015312,             0.11707,            0.027763,            0.038562,            0.097291,          0.00029109,          0.00029109
                   4,             0.12933,            0.032613,            0.033969,          0.00053362,             0.16667,          0.00098615,          9.8615e-05,             0.11552,             0.02647,            0.037158,            0.096384,          0.00038416,          0.00038416
                   5,             0.12784,            0.031587,            0.033015,           0.0022225,                 0.5,            0.002624,           0.0002624,             0.11308,            0.025387,            0.035327,            0.095475,          0.00047525,          0.00047525
                   6,              0.1239,            0.030669,            0.031735,           0.0011113,                0.25,           0.0019195,          0.00022418,             0.11055,             0.02417,             0.03327,            0.094564,          0.00056436,          0.00056436
                   7,             0.12387,            0.029499,            0.029652,           0.0022226,                 0.5,           0.0033197,          0.00054361,              0.1065,            0.023912,            0.031635,            0.093651,          0.00065149,          0.00065149
                   8,             0.12098,            0.027689,            0.029619,           0.0022055,             0.41667,           0.0040085,           0.0006712,             0.10642,            0.022799,            0.030725,            0.092737,          0.00073664,          0.00073664
                   9,             0.11811,            0.027906,            0.028118,           0.0027683,             0.58333,           0.0057212,           0.0012437,             0.10474,            0.022226,            0.029657,             0.09182,          0.00081981,          0.00081981
                  10,             0.11868,            0.025692,            0.027323,           0.0027623,             0.58333,           0.0066001,           0.0017263,             0.10567,            0.021237,            0.029974,            0.090901,            0.000901,            0.000901
                  11,              0.1133,            0.022857,            0.027395,           0.0033092,             0.66667,            0.015652,           0.0032423,             0.10362,            0.020917,            0.029425,             0.08998,          0.00098021,          0.00098021
                  12,             0.11249,            0.023508,            0.026655,            0.003304,             0.66667,            0.014437,           0.0032558,             0.10293,            0.020503,            0.029401,            0.089057,           0.0010574,           0.0010574
                  13,             0.11056,            0.025102,            0.025745,           0.0038817,             0.83333,            0.028302,           0.0047144,             0.10273,            0.019877,            0.029407,            0.088133,           0.0011327,           0.0011327
                  14,             0.10755,            0.025389,            0.025635,           0.0033114,             0.66667,            0.031383,           0.0064929,             0.10189,            0.019597,            0.028497,            0.087206,            0.001206,            0.001206
                  15,             0.10942,             0.02223,            0.024321,           0.0033191,             0.66667,            0.032651,           0.0077923,            0.099681,            0.019817,            0.027515,            0.086277,           0.0012772,           0.0012772
                  16,              0.1071,            0.022664,            0.024006,           0.0033422,             0.66667,            0.049022,            0.011738,            0.094001,            0.021101,            0.025751,            0.085347,           0.0013466,           0.0013466
                  17,             0.10221,              0.0244,            0.024066,           0.0033474,             0.66667,            0.049664,            0.010456,            0.091184,            0.021601,            0.024036,            0.084414,           0.0014139,           0.0014139
                  18,             0.10313,            0.020331,            0.023009,           0.0038785,             0.83333,            0.071867,             0.01266,            0.089838,            0.021744,            0.022852,            0.083479,           0.0014792,           0.0014792
