               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0073347,           0.0027657,                   0,             0.95126,                   1,             0.98227,             0.87744,           0.0053141,           0.0022995,                   0,            0.070229,           0.0033079,           0.0033079
                   1,           0.0085951,           0.0028114,                   0,             0.95124,                   1,             0.98227,             0.74122,            0.010397,           0.0026917,                   0,            0.040098,           0.0065097,           0.0065097
                   2,            0.012045,           0.0027073,                   0,              0.9512,                   1,                0.98,             0.69804,            0.012981,            0.002756,                   0,            0.009834,           0.0095796,           0.0095796
                   3,            0.015444,           0.0027651,                   0,             0.86303,                   1,             0.95962,             0.64401,            0.014204,           0.0028006,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.017743,           0.0033286,                   0,              0.9509,                   1,             0.95409,             0.76806,            0.011242,           0.0027164,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.015374,           0.0033066,                   0,             0.95031,                   1,             0.94977,             0.69376,           0.0098755,           0.0029465,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.017333,           0.0038999,                   0,             0.95014,                   1,             0.95409,             0.67414,            0.011825,           0.0029145,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.016591,           0.0033393,                   0,             0.94468,                   1,             0.94977,             0.56282,            0.012623,           0.0028633,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.017454,            0.003267,                   0,             0.94859,                   1,             0.94977,             0.75391,            0.010082,           0.0028369,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.01806,           0.0038076,                   0,             0.94757,                   1,             0.94977,             0.78595,            0.010339,           0.0028402,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.012671,           0.0029982,                   0,             0.94753,                   1,             0.94977,             0.72494,           0.0091554,           0.0028219,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.012172,           0.0030574,                   0,             0.94794,                   1,             0.94977,             0.76423,           0.0095766,           0.0027592,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.014608,           0.0036551,                   0,             0.94782,                   1,             0.94977,             0.75854,            0.010325,           0.0026949,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.013195,           0.0029874,                   0,             0.94801,                   1,             0.94977,             0.77414,           0.0094875,           0.0026061,                   0,            0.007624,            0.007624,            0.007624
