               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01416,           0.0050803,                   0,             0.90493,                   1,             0.98676,             0.83184,            0.014518,           0.0052749,                   0,            0.070306,           0.0032993,           0.0032993
                   1,            0.015129,           0.0054873,                   0,             0.91255,                   1,             0.98438,             0.85358,            0.013811,           0.0050803,                   0,             0.04024,            0.006567,            0.006567
                   2,            0.016271,            0.005179,                   0,             0.91218,             0.98958,             0.98247,             0.80519,            0.018395,           0.0048889,                   0,            0.010109,           0.0097687,           0.0097687
                   3,            0.018445,           0.0052947,                   0,             0.92381,             0.95238,             0.95431,             0.75688,            0.022935,           0.0048122,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.020994,            0.004753,                   0,             0.95418,             0.99205,             0.95864,             0.72578,            0.018721,           0.0047044,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.022043,           0.0049252,                   0,             0.95103,                   1,             0.94977,             0.52783,            0.029182,           0.0051536,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.020581,           0.0044847,                   0,              0.9511,                   1,             0.94977,             0.74589,             0.01795,           0.0047683,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.018325,           0.0047951,                   0,              0.9496,                   1,             0.94977,             0.61078,            0.023265,           0.0051146,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.020078,           0.0052037,                   0,             0.90899,                   1,             0.94819,             0.68458,             0.01844,           0.0050087,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.020081,           0.0049897,                   0,             0.95038,                   1,             0.94977,             0.69651,            0.019231,           0.0051327,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.016564,           0.0045802,                   0,             0.95048,                   1,             0.94977,              0.7061,            0.017424,           0.0049431,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.018985,            0.004557,                   0,              0.9456,                   1,             0.94977,             0.69241,            0.017999,           0.0049117,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.016017,           0.0051991,                   0,             0.94939,                   1,             0.94977,             0.70159,            0.020054,           0.0048198,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.020716,           0.0044404,                   0,             0.94949,                   1,             0.94977,             0.58733,            0.023623,           0.0048474,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.018902,           0.0046018,                   0,             0.95111,                   1,             0.95182,             0.68586,            0.021693,           0.0046692,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.01966,           0.0043389,                   0,             0.94972,                   1,             0.95182,             0.65852,            0.017066,           0.0047166,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.015615,           0.0043623,                   0,             0.92302,                   1,             0.95182,             0.54248,             0.02208,            0.004684,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.017586,             0.00452,                   0,             0.95039,                   1,             0.95182,             0.71808,            0.017027,           0.0045361,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.015282,           0.0041672,                   0,             0.95104,                   1,             0.95409,             0.70573,             0.01818,           0.0045461,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.014807,           0.0041918,                   0,             0.95057,                   1,             0.95636,             0.77482,            0.014456,           0.0043715,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.015017,           0.0044044,                   0,             0.95125,                   1,             0.95864,             0.66144,            0.019381,           0.0044608,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.015132,           0.0044426,                   0,             0.95108,                   1,             0.95864,             0.79676,            0.013435,           0.0042277,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.014766,           0.0042014,                   0,             0.95078,                   1,             0.95636,             0.75869,            0.016081,           0.0043072,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.015421,           0.0040604,                   0,             0.95045,                   1,             0.96273,             0.77644,            0.015741,             0.00423,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.016904,           0.0042305,                   0,             0.95137,                   1,             0.95864,             0.63145,            0.022237,           0.0045737,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.017267,           0.0042404,                   0,             0.95103,                   1,             0.95409,             0.72571,            0.016151,           0.0042757,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.015679,            0.004025,                   0,             0.95127,                   1,             0.95182,              0.7481,            0.016694,           0.0044739,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.01487,           0.0041733,                   0,             0.95155,                   1,             0.95182,              0.7416,            0.015953,           0.0044498,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.016151,            0.004153,                   0,             0.95126,                   1,             0.95409,             0.74617,            0.016881,           0.0045033,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.014589,           0.0040159,                   0,             0.93921,                   1,             0.95409,             0.75145,            0.017631,           0.0044022,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.016506,           0.0044565,                   0,             0.95104,                   1,             0.95409,             0.75466,            0.014418,           0.0043695,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.014056,           0.0043654,                   0,              0.9511,                   1,             0.95409,             0.76363,            0.016017,           0.0043608,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.014526,           0.0041722,                   0,             0.94918,                   1,             0.95409,             0.77275,            0.012876,           0.0042748,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.012891,           0.0043772,                   0,             0.95113,                   1,             0.95409,             0.76578,            0.014396,           0.0042874,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.014585,           0.0045049,                   0,             0.95116,                   1,             0.95182,             0.77497,            0.012968,           0.0042009,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.01304,           0.0041121,                   0,               0.951,                   1,             0.95636,             0.65387,             0.02019,           0.0045412,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.013475,           0.0033176,                   0,             0.95127,                   1,             0.95864,             0.78433,            0.013339,           0.0041851,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.012965,           0.0038106,                   0,             0.95117,                   1,             0.95182,             0.71263,            0.020739,           0.0043845,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.016706,           0.0040023,                   0,             0.95131,                   1,             0.95182,             0.76646,             0.01445,            0.004175,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.015721,           0.0042963,                   0,              0.9511,                   1,             0.95182,             0.71305,            0.017499,           0.0044187,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.013933,           0.0037323,                   0,             0.95113,                   1,             0.95182,             0.79048,            0.014126,            0.004304,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.014205,           0.0045637,                   0,             0.95132,                   1,             0.95182,             0.71825,            0.014794,           0.0043764,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.01337,           0.0039713,                   0,             0.95132,                   1,             0.95182,              0.7674,            0.012737,           0.0042545,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.013981,           0.0040258,                   0,             0.95132,                   1,             0.95182,             0.76853,            0.015131,           0.0042488,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.013258,           0.0037619,                   0,             0.95137,                   1,             0.94977,             0.79627,            0.014681,           0.0042245,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.014809,           0.0040977,                   0,              0.9515,                   1,             0.95182,             0.81995,            0.015006,           0.0041835,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.013955,           0.0038814,                   0,             0.95173,                   1,             0.95636,             0.81701,             0.01563,            0.004161,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.014367,           0.0042741,                   0,             0.95175,                   1,             0.96273,             0.85957,            0.013555,           0.0040268,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.013345,           0.0037459,                   0,              0.9518,                   1,             0.97136,             0.82431,            0.012265,           0.0039461,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.011677,           0.0038985,                   0,             0.95188,                   1,                0.98,             0.84319,            0.011221,           0.0039173,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.010416,           0.0034838,                   0,             0.95199,                   1,             0.98227,             0.82757,             0.01169,           0.0039618,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.011971,           0.0038615,                   0,             0.95203,                   1,             0.98455,             0.82754,            0.013014,           0.0040019,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.010629,            0.003046,                   0,             0.95193,                   1,             0.98455,              0.8541,            0.012237,           0.0040244,                   0,            0.004951,            0.004951,            0.004951
