               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013552,           0.0058226,                   0,             0.99572,                   1,               0.995,             0.73616,            0.012095,            0.003203,                   0,             0.07039,             0.00329,             0.00329
                   1,            0.016505,           0.0052484,                   0,             0.93381,             0.94103,             0.99125,             0.68092,            0.025073,           0.0033457,                   0,            0.040324,           0.0065578,           0.0065578
                   2,            0.030855,            0.005217,                   0,             0.75109,             0.93333,             0.96015,              0.6272,            0.033227,           0.0034064,                   0,            0.010192,           0.0097596,           0.0097596
                   3,            0.027819,           0.0053716,                   0,             0.81599,             0.93333,             0.96225,             0.69368,            0.021446,            0.003318,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.020836,           0.0054557,                   0,                   1,             0.93321,               0.995,             0.71222,            0.017627,           0.0035167,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.024367,           0.0055852,                   0,             0.78183,                   1,             0.88987,             0.46452,            0.031074,           0.0034404,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035431,           0.0055261,                   0,             0.87164,             0.90647,             0.97971,              0.6979,            0.023551,           0.0035619,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.025723,           0.0062489,                   0,             0.98891,                   1,               0.995,             0.72561,            0.024836,           0.0034964,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025028,           0.0056868,                   0,                   1,             0.98295,               0.995,             0.59291,            0.025216,           0.0036793,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.023307,           0.0070225,                   0,             0.99294,                   1,               0.995,             0.69142,            0.022105,           0.0037684,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.024653,           0.0063599,                   0,              0.6924,             0.86667,             0.75304,             0.45594,            0.032674,           0.0041857,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.03464,           0.0065102,                   0,             0.93693,                   1,               0.995,             0.49634,            0.026451,           0.0039985,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.025404,           0.0059745,                   0,             0.78779,             0.99043,             0.84689,             0.58906,            0.021923,           0.0043772,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.024569,           0.0064665,                   0,             0.78723,             0.98721,             0.81395,             0.54086,            0.020768,           0.0045281,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.02302,           0.0064269,                   0,             0.78562,             0.97802,             0.79921,             0.58671,            0.019728,           0.0045573,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.024758,           0.0062422,                   0,              0.8753,              0.9361,             0.97861,             0.72605,            0.021464,           0.0042673,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030382,           0.0071987,                   0,             0.91378,                   1,             0.98688,             0.63567,            0.021867,           0.0040072,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023802,           0.0056691,                   0,              0.9273,                   1,             0.98688,             0.70148,            0.019869,           0.0038894,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.021412,            0.005675,                   0,             0.99342,                   1,               0.995,             0.75924,            0.015505,           0.0038377,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.020755,           0.0057528,                   0,             0.93004,                   1,             0.99125,             0.69337,            0.023428,           0.0035203,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.026335,            0.005781,                   0,             0.96812,             0.93333,             0.98794,             0.64903,            0.022488,           0.0037237,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.023488,           0.0058581,                   0,             0.93216,                   1,             0.98688,               0.761,            0.017193,           0.0037742,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.017955,           0.0057908,                   0,             0.99535,                   1,               0.995,             0.70366,            0.019406,           0.0037374,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.017899,            0.006438,                   0,             0.99483,                   1,               0.995,             0.68397,            0.017859,           0.0037539,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.019074,           0.0065148,                   0,              0.9607,             0.93333,             0.98794,             0.67436,            0.022799,           0.0036168,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027578,           0.0058083,                   0,                   1,             0.97749,               0.995,              0.7571,            0.015561,           0.0035621,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.021793,            0.005846,                   0,             0.99476,                   1,               0.995,              0.6806,            0.019811,           0.0034628,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.020996,           0.0052602,                   0,             0.98729,                   1,               0.995,             0.70095,            0.020061,           0.0034695,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.020849,           0.0058069,                   0,              0.9926,                   1,               0.995,             0.74835,             0.01773,           0.0034663,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.016475,           0.0052108,                   0,             0.99365,                   1,               0.995,             0.63302,            0.024727,           0.0033911,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.02439,           0.0044729,                   0,             0.98936,                   1,               0.995,             0.66583,            0.016749,           0.0034459,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.021699,           0.0058247,                   0,             0.99149,                   1,               0.995,             0.67109,            0.021268,           0.0034895,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.021551,           0.0055196,                   0,             0.99424,                   1,               0.995,             0.76744,            0.016041,           0.0033961,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.017313,           0.0049639,                   0,             0.99311,                   1,               0.995,             0.79435,            0.015953,           0.0034382,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.017193,           0.0052323,                   0,             0.94911,                   1,               0.995,             0.78114,            0.019504,           0.0033647,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021215,           0.0047305,                   0,             0.99252,                   1,               0.995,             0.78029,             0.01734,           0.0033028,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.017838,            0.004506,                   0,             0.99213,                   1,               0.995,              0.7583,            0.015804,           0.0033304,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.016334,           0.0048023,                   0,             0.98994,                   1,               0.995,              0.7161,             0.01643,            0.003265,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.016582,           0.0055638,                   0,             0.99447,                   1,               0.995,             0.76515,            0.013238,           0.0032681,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.015097,           0.0052689,                   0,             0.99493,                   1,               0.995,             0.72615,             0.01839,           0.0031737,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.017369,            0.004907,                   0,             0.96256,                   1,               0.995,             0.72905,            0.015652,           0.0031802,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.019533,            0.004758,                   0,             0.98891,                   1,               0.995,             0.71844,            0.017674,           0.0032002,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.016398,           0.0051708,                   0,             0.99046,                   1,               0.995,             0.75863,            0.013801,           0.0031984,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.014009,           0.0053694,                   0,             0.99492,                   1,               0.995,             0.79995,            0.012559,           0.0031892,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.015208,           0.0054003,                   0,                   1,             0.98137,               0.995,             0.63181,              0.0248,           0.0033005,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022304,           0.0045427,                   0,             0.99443,                   1,               0.995,              0.7037,            0.017018,            0.003358,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017591,           0.0043154,                   0,               0.995,                   1,               0.995,             0.75795,            0.015535,           0.0033155,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.014789,           0.0048245,                   0,             0.99479,                   1,               0.995,             0.80576,            0.012438,           0.0033257,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.013215,           0.0049868,                   0,             0.99509,                   1,               0.995,             0.78936,            0.012573,           0.0032744,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.014091,           0.0048021,                   0,             0.93377,             0.94027,             0.99125,             0.69112,            0.017547,           0.0033885,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.019863,            0.005043,                   0,             0.99557,                   1,               0.995,             0.74575,             0.01549,           0.0032237,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.014638,           0.0045741,                   0,             0.99519,                   1,               0.995,             0.75443,            0.014189,           0.0031662,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.014182,           0.0052911,                   0,             0.99576,                   1,               0.995,             0.76382,            0.011886,           0.0030882,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.013112,           0.0044582,                   0,             0.99558,                   1,               0.995,             0.74339,            0.012104,           0.0030993,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.014132,           0.0049893,                   0,             0.99569,                   1,               0.995,             0.70909,            0.019566,           0.0031323,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019565,           0.0045571,                   0,             0.99507,                   1,               0.995,             0.69884,            0.014666,           0.0031199,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.016484,           0.0047661,                   0,              0.9953,                   1,               0.995,             0.81083,             0.01241,           0.0030578,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.014294,           0.0048397,                   0,             0.99553,                   1,               0.995,              0.7886,             0.01244,           0.0030496,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.013218,           0.0046321,                   0,             0.99562,                   1,               0.995,              0.8273,            0.011951,           0.0030418,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.014458,           0.0046826,                   0,             0.99581,                   1,               0.995,             0.82072,            0.013701,           0.0030467,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.017106,           0.0050378,                   0,             0.99595,                   1,               0.995,             0.81865,            0.011189,           0.0029583,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.012953,           0.0047857,                   0,             0.99541,                   1,               0.995,             0.84854,            0.012171,            0.003031,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.012522,           0.0040689,                   0,             0.99542,                   1,               0.995,             0.85527,            0.010232,           0.0029729,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.013843,           0.0042815,                   0,             0.99559,                   1,               0.995,             0.81496,            0.010582,           0.0029657,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.013722,           0.0042628,                   0,             0.99537,                   1,               0.995,              0.7633,             0.01588,            0.003139,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.016741,           0.0043452,                   0,             0.99559,                   1,               0.995,             0.84183,            0.011889,           0.0029743,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.013902,           0.0046357,                   0,             0.99568,                   1,               0.995,              0.8476,           0.0099104,           0.0029595,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.012021,           0.0046608,                   0,             0.99546,                   1,               0.995,             0.86155,            0.010049,           0.0029415,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.011469,           0.0049209,                   0,             0.99559,                   1,               0.995,             0.86978,           0.0096519,           0.0029054,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.010758,           0.0043604,                   0,             0.99501,                   1,               0.995,             0.82192,            0.012714,           0.0029947,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.014318,           0.0054015,                   0,             0.99528,                   1,               0.995,             0.81178,            0.010668,           0.0029031,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.011554,           0.0037611,                   0,             0.99509,                   1,               0.995,             0.85182,           0.0095581,           0.0028518,                   0,             0.00307,             0.00307,             0.00307
                  72,           0.0096001,           0.0035506,                   0,             0.99513,                   1,               0.995,             0.86259,            0.010215,            0.002876,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.011615,           0.0042145,                   0,             0.99394,                   1,               0.995,             0.82396,            0.010318,           0.0028632,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.011018,           0.0043097,                   0,             0.99532,                   1,               0.995,             0.84787,           0.0095436,            0.002783,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01156,           0.0047095,                   0,             0.99546,                   1,               0.995,             0.84717,            0.011464,           0.0028491,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.012512,           0.0041391,                   0,             0.99551,                   1,               0.995,             0.81987,            0.010436,           0.0027825,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.011578,           0.0043264,                   0,             0.99555,                   1,               0.995,             0.83386,            0.010416,           0.0027879,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.010788,           0.0043194,                   0,             0.99542,                   1,               0.995,             0.83358,            0.010346,           0.0027465,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.011573,           0.0040804,                   0,             0.99552,                   1,               0.995,             0.81009,            0.010423,           0.0027441,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.010312,            0.003981,                   0,              0.9955,                   1,               0.995,             0.81254,           0.0098802,           0.0027294,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.010053,           0.0040354,                   0,             0.99557,                   1,               0.995,             0.82544,           0.0098349,           0.0027332,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.010135,           0.0040494,                   0,             0.99557,                   1,               0.995,             0.82542,           0.0097922,            0.002721,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.010759,           0.0044094,                   0,             0.99568,                   1,               0.995,             0.84958,           0.0089972,           0.0026718,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.010654,           0.0041302,                   0,              0.9957,                   1,               0.995,              0.8814,           0.0094012,           0.0026832,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.010434,           0.0036335,                   0,             0.99569,                   1,               0.995,             0.84541,           0.0089792,           0.0026665,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0092187,           0.0036619,                   0,              0.9956,                   1,               0.995,             0.84913,           0.0091562,           0.0026421,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0098439,           0.0042793,                   0,             0.99562,                   1,               0.995,             0.84407,           0.0091141,            0.002647,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0087381,            0.003675,                   0,             0.99562,                   1,               0.995,             0.82089,           0.0088885,           0.0026502,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0092284,           0.0044523,                   0,             0.99577,                   1,               0.995,             0.84055,           0.0089475,             0.00266,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.010071,           0.0043099,                   0,             0.99562,                   1,               0.995,              0.8538,            0.008423,           0.0026375,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0093769,           0.0040127,                   0,              0.9957,                   1,               0.995,             0.85239,           0.0083499,           0.0026484,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.010169,           0.0035717,                   0,             0.99566,                   1,               0.995,              0.8512,           0.0083395,           0.0026826,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0098141,           0.0040389,                   0,             0.99559,                   1,               0.995,             0.84653,           0.0081552,            0.002659,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.010914,           0.0049077,                   0,              0.9955,                   1,               0.995,             0.84664,           0.0082383,           0.0026603,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.010084,           0.0040594,                   0,             0.99568,                   1,               0.995,             0.85671,           0.0080973,           0.0026509,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0097388,           0.0042057,                   0,             0.99571,                   1,               0.995,             0.84755,           0.0079691,           0.0026407,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0092032,           0.0037525,                   0,             0.99568,                   1,               0.995,             0.84299,           0.0081079,           0.0026482,                   0,            0.000496,            0.000496,            0.000496
