               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099651,            0.029507,                   0,                   0,                   0,                   0,                   0,            0.082497,            0.019451,                   0,             0.07039,             0.00329,             0.00329
                   1,            0.087854,            0.026787,                   0,                   0,                   0,                   0,                   0,            0.078401,             0.01595,                   0,            0.040324,           0.0065578,           0.0065578
                   2,            0.081542,            0.021609,                   0,           0.0002381,            0.071429,          0.00018638,          5.5914e-05,            0.076885,            0.013462,                   0,            0.010192,           0.0097596,           0.0097596
                   3,            0.080259,            0.018549,                   0,          0.00095238,             0.28571,           0.0011961,          0.00025567,             0.07731,            0.010988,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.074546,            0.016422,                   0,          0.00095238,             0.28571,           0.0031393,           0.0012982,            0.074927,           0.0096698,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.079762,            0.014945,                   0,          0.00095238,             0.28571,           0.0061339,           0.0031978,             0.07932,           0.0070665,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.082068,            0.013181,                   0,          0.00095238,             0.28571,           0.0013201,          0.00050873,            0.076467,           0.0069476,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.074259,            0.015053,                   0,          0.00095238,             0.28571,           0.0012487,          0.00033336,            0.072939,           0.0074213,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.066316,            0.015949,                   0,           0.0011905,             0.35714,             0.00155,          0.00050206,            0.067231,           0.0086173,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.06679,            0.019966,                   0,          0.00095238,             0.28571,           0.0017406,          0.00059144,              0.0639,           0.0091659,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.061017,            0.016286,                   0,           0.0014286,             0.42857,           0.0020645,          0.00053687,            0.064382,           0.0091159,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.066682,             0.01532,                   0,           0.0016667,                 0.5,            0.045997,            0.021579,            0.065603,           0.0084359,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.061553,             0.01518,                   0,           0.0019048,             0.57143,            0.070217,            0.024293,            0.057026,            0.009807,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.058074,            0.016073,                   0,           0.0021429,             0.64286,            0.045798,            0.018807,            0.052924,            0.010125,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.053925,            0.016486,                   0,           0.0021429,             0.64286,             0.12475,             0.04987,            0.048467,            0.010832,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.050934,            0.016078,                   0,           0.0028571,             0.85714,            0.041347,            0.026219,            0.050363,            0.010205,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.058399,            0.018794,                   0,           0.0031168,             0.92857,             0.12256,            0.036192,            0.048799,             0.01007,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.048512,            0.015246,                   0,           0.0030952,             0.92857,             0.25435,             0.12022,            0.045681,            0.010229,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046213,            0.015967,                   0,           0.0058511,             0.71429,              0.2986,             0.15578,            0.042082,            0.010663,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.041963,            0.016659,                   0,            0.011352,             0.71429,             0.25016,            0.036424,            0.058428,            0.008143,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.062933,            0.012909,                   0,             0.24738,             0.28571,             0.29913,              0.1898,            0.045415,           0.0093853,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.045879,            0.015036,                   0,             0.65747,             0.28571,             0.32472,             0.13067,            0.041518,            0.010005,                   0,             0.00802,             0.00802,             0.00802
