               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013044,           0.0054203,                   0,             0.89448,                   1,               0.929,             0.80362,            0.010289,            0.004356,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.013082,           0.0047259,                   0,             0.89338,                   1,               0.929,             0.79807,            0.012423,            0.004663,                   0,            0.040435,           0.0065457,           0.0065457
                   2,            0.017136,            0.004783,                   0,             0.89162,                   1,               0.929,             0.67042,            0.024777,           0.0055505,                   0,            0.010303,           0.0097475,           0.0097475
                   3,            0.023137,           0.0056195,                   0,              0.8929,                   1,               0.918,             0.56059,            0.020497,           0.0051836,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.021741,           0.0047449,                   0,             0.89295,                   1,              0.8955,             0.58751,            0.025127,           0.0051675,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.021718,            0.005068,                   0,             0.89295,                   1,              0.8955,             0.55714,            0.024324,           0.0050296,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.025244,           0.0046517,                   0,             0.89221,                   1,              0.8955,                0.59,            0.023486,           0.0050292,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.02116,           0.0055006,                   0,             0.89221,                   1,              0.8955,                0.59,            0.023486,           0.0050292,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.029222,           0.0056588,                   0,             0.76502,                   1,               0.835,             0.44777,            0.031759,            0.005257,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029568,           0.0060994,                   0,              0.6282,                   1,             0.63964,             0.37286,             0.03498,           0.0054874,                   0,            0.009208,            0.009208,            0.009208
                  10,              0.0273,           0.0057207,                   0,             0.67647,                   1,             0.69481,             0.35565,             0.03564,            0.005716,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028357,           0.0062995,                   0,              0.7421,                   1,             0.74625,             0.37571,            0.033054,           0.0058702,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026333,           0.0072425,                   0,             0.74083,                   1,             0.74625,              0.4431,            0.030417,           0.0058712,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.024313,           0.0079021,                   0,             0.70769,                   1,             0.74625,             0.60178,            0.026148,           0.0057433,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.021021,           0.0073164,                   0,             0.69004,                   1,             0.74625,             0.54096,            0.024964,           0.0054647,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.017913,           0.0064652,                   0,             0.78985,                   1,              0.8225,             0.61015,            0.024254,           0.0049869,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.019256,            0.006375,                   0,              0.8139,                   1,              0.8955,             0.70471,             0.01662,            0.004572,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.018798,           0.0053368,                   0,             0.89305,                   1,              0.8955,             0.58234,             0.02253,           0.0045903,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.019703,           0.0051063,                   0,             0.89182,                   1,              0.8955,             0.70042,            0.015191,           0.0046137,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.017663,           0.0046012,                   0,             0.89181,                   1,              0.8955,              0.5559,            0.020382,           0.0049321,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.018119,           0.0046781,                   0,             0.88979,                   1,               0.918,              0.7167,            0.020772,           0.0051162,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024444,           0.0055315,                   0,             0.89242,                   1,                0.94,             0.53768,            0.022039,           0.0053687,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.019436,           0.0045208,                   0,             0.88909,                   1,               0.918,             0.69082,              0.0156,           0.0049982,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.018975,             0.00451,                   0,             0.88909,                   1,               0.918,             0.69082,              0.0156,           0.0049982,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.024148,           0.0048266,                   0,              0.8855,                   1,               0.918,             0.59786,            0.021305,           0.0052416,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.026268,           0.0055739,                   0,             0.85564,                   1,               0.918,                0.53,            0.024035,           0.0054075,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.023841,           0.0051713,                   0,             0.68272,                   1,              0.8135,             0.53471,             0.02525,           0.0054515,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.025462,           0.0057287,                   0,             0.71717,                   1,               0.835,              0.5593,            0.023149,           0.0053658,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023011,           0.0057778,                   0,             0.79641,                   1,             0.90167,             0.60588,            0.020275,           0.0052098,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.017958,            0.004761,                   0,             0.77943,                   1,             0.91389,             0.76525,            0.016742,           0.0050005,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.015888,            0.004931,                   0,             0.88101,                   1,                0.94,             0.79571,            0.015895,           0.0048335,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.014804,           0.0045094,                   0,             0.89289,                   1,               0.984,              0.8273,            0.014988,           0.0046687,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.013354,           0.0043336,                   0,             0.89327,                   1,               0.984,             0.88203,            0.013915,           0.0045439,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.01319,           0.0044347,                   0,             0.89376,                   1,               0.984,                0.88,            0.012511,           0.0044876,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.012639,           0.0042287,                   0,             0.89426,                   1,               0.995,             0.84664,            0.016157,           0.0044755,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.013179,           0.0043848,                   0,             0.89304,                   1,               0.973,             0.77292,            0.013875,           0.0043736,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.014918,           0.0042359,                   0,             0.89362,                   1,               0.984,             0.75625,            0.021789,           0.0044549,                   0,            0.006535,            0.006535,            0.006535
