area,h,true x,compute_x,true y,compute_y,true z,compute_z,delta_x,delta_y,delta_z 
2.024,0.7959967806848001,80,74.75372879019775,65,60.80666670145018,17.5,18.033981332278803,-5.246271209802245,-4.193333298549817,0.5339813322788025
2.07,0.79599214302,80,74.66439646646643,25,23.516687086812432,17.5,18.24534236614913,-5.335603533533572,-1.483312913187568,0.7453423661491314
3.192,0.7958787622272,65,60.353021994646426,25,23.437153824005463,17.5,17.44758283083199,-4.646978005353574,-1.5628461759945367,-0.052417169168009536
29.131,1.9536888974294215,55,47.893999092685625,25,22.15912950734737,17.5,16.086019020144544,-7.106000907314375,-2.8408704926526305,-1.413980979855456
43.755,1.9757782999349371,45,39.11388256021173,25,22.266986928859943,17.5,15.76455181809053,-5.886117439788272,-2.733013071140057,-1.7354481819094705
10.192,0.7951600246272,35,33.46536263565664,25,24.096645574565482,17.5,16.590064426627343,-1.5346373643433608,-0.903354425434518,-0.9099355733726568
12.9345,1.9096024700922545,80,69.3758035103077,15,13.097807563416927,17.5,17.18664401566771,-10.624196489692295,-1.9021924365830731,-0.31335598433228995
3.248,0.7958730900992,65,59.40905016213284,15,13.630742344382709,17.5,17.28790901615266,-5.590949837867157,-1.3692576556172913,-0.2120909838473395
4.356,0.7957606050528,55,51.43519718290768,15,14.295777315454348,17.5,17.16962824307218,-3.564802817092321,-0.7042226845456518,-0.3303717569278213
44.477,1.9766669905482144,45,38.26846552047612,15,12.882016474629118,17.5,15.448219092970609,-6.73153447952388,-2.1179835253708816,-2.051780907029391
10.812,0.7950954201312,35,32.72297248729629,15,14.389883244838304,17.5,16.357420733015722,-2.277027512703711,-0.6101167551616964,-1.1425792669842778
1.978,0.7960014175032,80,76.10191684954243,0,-0.2533516625931853,17.5,18.853367312321282,-3.898083150457566,-0.2533516625931853,1.3533673123212822
2.652,0.7959333933792,70,66.08898350189322,0,-0.34850628703719316,17.5,18.260805596508764,-3.9110164981067754,-0.34850628703719316,0.7608055965087637
3.658,0.7958315238072,60,57.18814993013438,0,-0.41198255810154544,17.5,17.961237248454474,-2.8118500698656206,-0.41198255810154544,0.46123724845447356
5.472,0.7956468114432,50,46.956057070105075,0,-0.19807747145235657,17.5,17.409010006195157,-3.043942929894925,-0.19807747145235657,-0.0909899938048433
53.723,1.9869225779863708,40,37.12245269680861,0,0.30814491400246635,17.5,16.77590499259143,-2.877547303191392,0.30814491400246635,-0.7240950074085717
1.984,0.7960008127488,80,76.07579751906584,20,19.193543953317104,7.5,8.90691902486117,-3.924202480934156,-0.8064560466828965,1.4069190248611694
3.024,0.7958957710848,65,62.08453188620823,20,19.31496061265861,7.5,8.242976693553574,-2.9154681137917677,-0.6850393873413907,0.7429766935535742
26.811,1.9491825052329579,55,50.562759677047886,20,18.483299449484083,7.5,7.457801496705418,-4.437240322952114,-1.5167005505159175,-0.04219850329458197
40.7025,1.9718515206983578,45,41.621805169170464,20,18.696294258934124,7.5,7.119718247444223,-3.3781948308295355,-1.3037057410658761,-0.3802817525557769
10.508,0.7951271163872,35,33.65330940331565,20,19.498866880130905,7.5,6.965319892245284,-1.346690596684347,-0.5011331198690954,-0.5346801077547161
21.462,0.7939616765112,25,23.277271849122524,20,18.99650276116186,7.5,6.322733320034255,-1.7227281508774759,-1.0034972388381398,-1.1772666799657454
1.94,0.79600524728,80,76.33933249163836,10,9.635755139694568,7.5,9.117696261856624,-3.660667508361641,-0.3642448603054316,1.617696261856624
18.634,1.929426841288233,65,58.97023436267572,10,9.110074813546966,7.5,7.897385568434423,-6.029765637324282,-0.8899251864530342,0.39738556843442296
25.8845,1.9472728873340825,55,50.85799249917387,10,9.510181236317981,7.5,7.610654582838185,-4.142007500826132,-0.4898187636820186,0.11065458283818508
39.748,1.970562982227543,45,41.34740552432888,10,9.494626783083946,7.5,7.038532096415519,-3.6525944756711226,-0.5053732169160536,-0.46146790358448087
66.6095,1.9985974035038954,35,32.544851673920014,10,9.754102628505864,7.5,6.759339499188298,-2.4551483260799856,-0.24589737149413615,-0.7406605008117024
131.7315,2.0356255807736856,25,23.794700132223383,10,9.941073115717586,7.5,6.554003448947226,-1.205299867776617,-0.058926884282413994,-0.9459965510527741
66.203,0.7887031325582,15,13.196822264004647,10,9.3514016057655,7.5,5.76883197854102,-1.8031777359953534,-0.6485983942345008,-1.7311680214589797
1.892,0.7960100840672,80,77.8377506658763,0,-0.10567536115276877,7.5,9.349738013203092,-2.1622493341237004,-0.10567536115276877,1.8497380132030923
18.254,1.9283080639113415,65,60.14345595679086,0,0.13842452385049991,7.5,8.082493187849032,-4.856544043209141,0.13842452385049991,0.5824931878490318
25.7855,1.9470648088909543,55,50.94255050388528,0,0.13366930102625307,7.5,7.671155118609949,-4.057449496114721,0.13366930102625307,0.17115511860994914
6.006,0.7955921855928,45,43.60248413273919,0,-0.03993331256937632,7.5,7.4608778890994785,-1.3975158672608075,-0.03993331256937632,-0.039122110900521534
65.165,1.9974068925635597,35,32.972403485223886,0,0.0932694690025816,7.5,6.879721302737466,-2.027596514776114,0.0932694690025816,-0.6202786972625338
126.437,2.0333981079095658,25,24.276738924289084,0,0.27266994562616215,7.5,6.826613177279378,-0.7232610757109157,0.27266994562616215,-0.6733868227206221
61.9065,0.78924286705155,15,13.61192409567051,0,0.2634212421540354,7.5,6.023925048127589,-1.3880759043294901,0.2634212421540354,-1.4760749518724108
2.115,0.795987605355,80,76.03774596096464,65,61.32087878597424,10.0,11.126348749242563,-3.9622540390353578,-3.6791212140257628,1.1263487492425632
